Name,"# of
locations",States,,,,
Stop One Grocery,8,"CT, NJ, NY",,,,
Store 24,3,"MA, NH",,,,
Streetmans Supermarket,9,OK,,,,
Stremicks Heritage Foods,3,CA,,,,
Stripes,6,OK,,,,
Sturm Foods Inc,2,WI,,,,
Sugar Creek Stores,7,NY,,,,
Sullivans Foods,16,"IA, IL, OH",,,,
Summer Fresh Supermarket,7,MO,,,,
Sun Hop Fat 1 Supermarket,3,CA,,,,
Sun Market,3,"DC, MA",,,,
Sun Mart Foods,4,NE,,,,
Sun Sang Supermarket,2,CA,,,,
Sun Valley Foods,3,"ID, MI, NV",,,,
Sunbelt Foods,2,"GA, TX",,,,
Sunbelt Natural Foods,3,FL,,,,
Sundance Natural Foods,3,"CA, OR",,,,
Sunflower Farmers Market,3,"AZ, NV",,,,
Sunflower Natural Foods,6,"CA, CO, IN, OH, VT",,,,
Sunflower Natural Foods Market,1,NY,,,,
Sunflower Supermarket,2,MS,,,,
Sunland Foods,2,FL,,,,
Sunmart,9,"MN, ND, NE, TX",,,,
Sunny Food Store,7,"AL, NY, TX",,,,
Sunny Fresh,5,"IA, MI, MN",,,,
Sunny Groceries,2,MD,,,,
Sunny Ridge Supermarket,1,CT,,,,
Sunrise Food,14,"CA, FL, MI, NJ, NY, OH, TX, WI",,,,
Sunrise Natural Foods,5,"CA, MN, NY",,,,
Sunrise Natural Foods Inc,1,FL,,,,
Sunset Foods,3,"IL, NM",,,,
Sunshine Fine Foods,2,OH,,,,
Sunshine Foods,21,"CA, CT, FL, IA, IL, MI, MN, NY, PA, SD, WI",,,,
Sunshine Market,4,"CA, MA, MO, RI",,,,
Sunshine Natural Foods,4,"IA, OR, TX",,,,
Sunshine Supermarket,4,"FL, NY, VA, WI",,,,
Sunshine Supermarkets,1,FL,,,,
Super 1 Foods,42,"AR, ID, LA, MT, OR, TX, WA",,,,
Super A Foods,15,"CA, TX",,,,
Super Bargain,4,CA,,,,
Super Bear Supermarket,2,AK,,,,
Super Food,2,FL,,,,
Super Food Store,4,"GA, TX",,,,
Super Fresh,48,"DC, DE, IL, MD, MN, NJ, PA, TX",,,,
Super K Food Store,3,"CA, FL, TX",,,,
Super One Foods,18,"LA, MI, MN, ND, WA, WI",,,,
Super S Foods,38,TX,,,,
Super Target,6,"GA, IA, IL, LA, TX",,,,
Superfresh,6,"MD, NJ, PA",,,,
Superior Market,9,NY,,,,
Superior Supermarket,6,"CT, NC, NJ, NY",,,,
Supervalu,22,"AL, CA, GA, IL, MN, MS, MT, ND, NJ, NM, OH, PA, WA, WI, WV",,,,
Supervalue,1,OH,,,,
Sure Winner Foods,7,"MA, ME, NH",,,,
Sweetbay Supermarket,89,FL,,,,
Tawa Supermarket,9,"CA, NV",,,,
Tedeschi Food Shops,26,MA,,,,
Terry's Supermarket,7,TX,,,,
Terrys Supermarket,2,,,,,
Thriftway,23,"CA, FL, GA, IA, KS, ME, MN, MO, NM, NY, OH, PA, TX, VA",,,,
Times Super Market,15,HI,,,,
Tops Friendly Markets,33,"NY, OH",,,,
Tops Market,32,NY,,,,
Town & Country,40,"AR, GA, KS, KY, MI, MO, MT, VA, WI",,,,
Trade Fair,12,NY,,,,
Trader Joe's,39,"CA, CT, MA, MI, MO, NV, NY, OH",,,,
Tradewinds Marketplace,3,ME,,,,
Tropical Supermarket,11,"FL, MD",,,,
Turkey Hill Mini Market,184,PA,,,,
Twin City Foods,16,"ID, MI, NJ, WA",,,,
U Save Super Markets,8,FL,,,,
Ukrops Super Market,36,"TX, VA",,,,
Ultra Food's,1,IL,,,,
Ultra Foods,11,IN,,,,
United Supermarket,75,"IL, OK, TX",,,,
Vallarta Supermarket,26,"CA, MI",,,,
Vons,255,"CA, MD, MI, NV, NY, SC, TN",,,,
Wal-Mart Supercenter,2592,"AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY",,,,
Waldbaums,69,NY,,,,
Wawa Food Markets,529,"DE, MD, NJ, PA, VA",,,,
Wayfield Foods,14,GA,,,,
Wegmans,93,"MD, NJ, NY, PA, VA",,,,
Weis Markets,105,"CA, CT, MD, NJ, PA, VA, WV",,,,
Wesselmans Supermarket,11,IN,,,,
Western Supermarket,14,"AL, IL, IN, NY",,,,
Westfarm Foods,6,"CA, ID, OR, WA",,,,
White Hen Pantry,14,"MA, NH",,,,
White Market,5,VT,,,,
Whites Fresh Foods,13,"TN, VA",,,,
Whole Foods Market,68,"AZ, CA, CO, CT, FL, GA, IL, IN, KS, MA, MD, MI, MN, NC, NV, NY, OH, OK, OR, PA, TX, VA, WA, WY",,,,
Winco,14,"CA, OR",,,,
Winn Dixie,608,"AL, FL, GA, KY, LA, MS, NC, OK, SC, TN, TX, VA",,,,
